names,attk,secrets
33882,BIM,Failed to find message.
33882,FGSM,Failed to find message.
33938,None,Failed to find message.
33938,BIM,Failed to find message.
33938,CW,Failed to find message.
33938,FFGSM,Failed to find message.
33938,FGSM,Failed to find message.
33938,MIFGSM,Failed to find message.
33938,PGD,Failed to find message.
33938,RFGSM,Failed to find message.
33938,TPGD,Failed to find message.
34646,None,Failed to find message.
34646,BIM,Failed to find message.
34646,CW,Failed to find message.
34646,FFGSM,Failed to find message.
34646,FGSM,Failed to find message.
34646,MIFGSM,Failed to find message.
34646,PGD,Failed to find message.
34646,RFGSM,Failed to find message.
34646,TPGD,Failed to find message.
36132,None,Failed to find message.
36132,BIM,Failed to find message.
36132,CW,Failed to find message.
36132,FFGSM,Failed to find message.
36132,FGSM,Failed to find message.
36132,MIFGSM,Failed to find message.
36132,PGD,Failed to find message.
36132,RFGSM,Failed to find message.
36132,TPGD,Failed to find message.
36161,None,dhDwvQieW9DhiviQ7gWc2LPjOXPdFSTyrRgL6z5OcTRk3RRU
36161,BIM,Failed to find message.
36161,CW,dhDwvQieW9DhiviQ7gWc2LPjOXPdFSTyrRgL6z5OcTRk3RRU
36161,FFGSM,Failed to find message.
36161,FGSM,Failed to find message.
36161,MIFGSM,Failed to find message.
36161,PGD,Failed to find message.
36161,RFGSM,Failed to find message.
36161,TPGD,Failed to find message.
36217,None,0Oc1DRA5VKTc1NXCmuX
36217,BIM,Failed to find message.
36217,CW,0Oc1DRA5VKTc1NXCmuX
36217,FFGSM,Failed to find message.
36217,FGSM,Failed to find message.
36217,MIFGSM,Failed to find message.
36217,PGD,Failed to find message.
36217,RFGSM,Failed to find message.
36217,TPGD,Failed to find message.
36467,None,Failed to find message.
36467,BIM,Failed to find message.
36467,CW,Failed to find message.
36467,FFGSM,Failed to find message.
36467,FGSM,Failed to find message.
36467,MIFGSM,Failed to find message.
36467,PGD,Failed to find message.
36467,RFGSM,Failed to find message.
36467,TPGD,Failed to find message.
36902,None,Xey2wCOmvOJR
36902,BIM,Failed to find message.
36902,CW,Xey2wCOmvOJR
36902,FFGSM,Failed to find message.
36902,FGSM,Failed to find message.
36902,MIFGSM,Failed to find message.
36902,PGD,Failed to find message.
36902,RFGSM,Failed to find message.
36902,TPGD,Failed to find message.
37278,None,6x90idU312u667awgwu7ustj3NFTgKuhetX9J8vSt6AlUr3
37278,BIM,Failed to find message.
37278,CW,6x90idU312u667awgwu7ustj3NFTgKuhetX9J8vSt6AlUr3
37278,FFGSM,Failed to find message.
37278,FGSM,Failed to find message.
37278,MIFGSM,Failed to find message.
37278,PGD,Failed to find message.
37278,RFGSM,Failed to find message.
37278,TPGD,Failed to find message.
37352,None,NJbOJ5Pj8emLQ0i3kj9axYETAMg2TZ
37352,BIM,Failed to find message.
